契約会社コード,契約会社名,配送コード
1,常石造船,2
2,尾道造船,3
3,ホームプラザナフコ尾道店,4
4,株式会社啓文社,4
5,広島共和物産株式会社,4
6,広島県教科用図書販売株式会社,4
7,塚本株式会社,4
8,株式会社リビンズ藤井,4
9,有限会社安保商店,4
10,株式会社三ツ星商会,4
11,株式会社三阪商店,4
12,有限会社大原商店,4
13,テクノス三原株式会社,1
14,山陽建設株式会社,1
15,株式会社エーガールズ,1
16,株式会社椿き家,1
17,株式会社アポロ,1
18,株式会社八天堂,1
19,広島国際空港株式会社,1
20,田中運輸株式会社,1
