タグID,タグ名
1,生鮮魚介類
2,骨取り
3,ﾏｸﾞﾛ
4,アレルゲンなし
5,生鮮
6,鮮魚類
7,生鮮原料
8,皮付
9,ﾏｸﾞﾛ類赤身
10,ｸﾛﾏｸﾞﾛ
11,ﾌﾞﾘ
12,生鮮魚介類
13,福井県
14,生鮮原料
15,生鮮
16,アレルゲンなし
17,鮮魚類
18,鮮魚類
19,生鮮魚介類
20,ｱｶｲｶ
21,ｽﾙﾒｲｶ
22,アレルゲンあり
23,生鮮
24,生鮮原料
25,石川県
26,宮城県
27,ｻﾊﾞ
28,冷凍魚介類
29,冷凍魚
